SocialSecurityNumber,Name,CareOfAddress,StreetAddress,PostalCode,City,YearConcerned,SumReceivedInterest,PaidAmount,SumPreliminaryTax,SumPaidInterest,SumDebth,BalanceExists,SignSumReceivedInterest,SignSumPreliminaryTax,SignSumBalance,SignSumPaidInterest,SignSumDebth,SumBalance,EngagementNumber,EngagementType,ProductCode,ProductText,ReceivedInterest,PreliminaryTax,Balance,SignBalance,PaidInterest,Debth,InterestOverDesk,StatusText,Interest1,CapitalSharePercentage,ReceivedInterestSharePercentage,PaidInterestSharePercentage,ReceivedInterestShare,BalanceShare,PaidInterestShare,DebthShare,SignReceivedInterest,SignPreliminaryTax,SignPaidInterest,SignDebth,SignInterestOverDesk,SignReceivedInterestShare,SignPreliminaryTaxShare,SignBalanceShare,SignPaidInterestShare,SignDebthShare,SignInterestOverDeskShare,InterestType,Interest2,Interest3,Interest4,PreliminaryTaxShare,InterestOverDeskShare
190912289808,sara Zittenbaum,,Mikaels väg 25,61337,Oxelösund,2022,0.0000,0.0000,0.0000,0.0000,0.0000,Y,+,+,+,+,+,0,00000091710523859,D,N/A,IKANO SparKonto,66203.1400,19860.0000,3068939.5900,+,0.0000,3068939.5900,0.0000,,3.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,+,+,+,+,+,+,+,+,+,+,+,,0,0,0,0,0
190912289808,sara Zittenbaum,,Mikaels väg 25,61337,Oxelösund,2022,0.0000,0.0000,0.0000,0.0000,0.0000,Y,+,+,+,+,+,0,00000091710523867,D,N/A,IKANO SparKonto,66203.1400,19860.0000,3068939.5900,+,0.0000,3068939.5900,0.0000,,3.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,+,+,+,+,+,+,+,+,+,+,+,,0,0,0,0,0
190912289808,sara Zittenbaum,,Mikaels väg 25,61337,Oxelösund,2022,0.0000,0.0000,0.0000,0.0000,0.0000,Y,+,+,+,+,+,0,00000091710523859,D,N/A,IKANO SparKonto,66203.1400,19860.0000,3068939.5900,+,0.0000,3068939.5900,0.0000,,3.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,+,+,+,+,+,+,+,+,+,+,+,,0,0,0,0,0
190912289808,sara Zittenbaum,,Mikaels väg 25,61337,Oxelösund,2022,0.0000,0.0000,0.0000,0.0000,0.0000,Y,+,+,+,+,+,0,00000091710523867,D,N/A,IKANO SparKonto,66203.1400,19860.0000,3068939.5900,+,0.0000,3068939.5900,0.0000,,3.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,+,+,+,+,+,+,+,+,+,+,+,,0,0,0,0,0
190912289808,sara Zittenbaum,,Mikaels väg 25,61337,Oxelösund,2022,0.0000,0.0000,0.0000,0.0000,0.0000,Y,+,+,+,+,+,0,00000091710523859,D,N/A,IKANO SparKonto,66203.1400,19860.0000,3068939.5900,+,0.0000,3068939.5900,0.0000,,3.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,+,+,+,+,+,+,+,+,+,+,+,,0,0,0,0,0
190912289808,sara Zittenbaum,,Mikaels väg 25,61337,Oxelösund,2022,0.0000,0.0000,0.0000,0.0000,0.0000,Y,+,+,+,+,+,0,00000091710523867,D,N/A,IKANO SparKonto,66203.1400,19860.0000,3068939.5900,+,0.0000,3068939.5900,0.0000,,3.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,+,+,+,+,+,+,+,+,+,+,+,,0,0,0,0,0
190912289808,sara Zittenbaum,,Mikaels väg 25,61337,Oxelösund,2022,0.0000,0.0000,0.0000,0.0000,0.0000,Y,+,+,+,+,+,0,00000091710523859,D,N/A,IKANO SparKonto,66203.1400,19860.0000,3068939.5900,+,0.0000,3068939.5900,0.0000,,3.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,+,+,+,+,+,+,+,+,+,+,+,,0,0,0,0,0
190912289808,sara Zittenbaum,,Mikaels väg 25,61337,Oxelösund,2022,0.0000,0.0000,0.0000,0.0000,0.0000,Y,+,+,+,+,+,0,00000091710523867,D,N/A,IKANO SparKonto,66203.1400,19860.0000,3068939.5900,+,0.0000,3068939.5900,0.0000,,3.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,+,+,+,+,+,+,+,+,+,+,+,,0,0,0,0,0
191001149812,Kalevi Pelto,,mias väg 8,90131,Umeå,2022,0.0000,0.0000,0.0000,0.0000,0.0000,Y,+,+,+,+,+,0,00000091710523824,D,N/A,IKANO SparKonto,66459.3500,19937.0000,3083675.0700,+,0.0000,3083675.0700,0.0000,,3.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,+,+,+,+,+,+,+,+,+,+,+,,0,0,0,0,0
191001149812,Kalevi Pelto,,mias väg 8,90131,Umeå,2022,0.0000,0.0000,0.0000,0.0000,0.0000,Y,+,+,+,+,+,0,00000091710523832,D,N/A,IKANO SparKonto,65946.9600,19784.0000,3054204.1500,+,0.0000,3054204.1500,0.0000,,3.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,+,+,+,+,+,+,+,+,+,+,+,,0,0,0,0,0
